description,comment,coordinates,user_id,loc_nic,observe_on,,LATITUDE,LONGITUDE,coordinates
,"Calm, winds < 8km, lots of rain preceding week.No rain past 24 hoursBusy day on the Riviera!Location: mid-channel, east of Aylmer Marina, north of old BNR building (tower)GPS: Latitude 45.373, Longitude 75.845","RGeo::Geographic.spherical_factory(srid: 4326).point(45.375768, -75.841747)",1,Ottawa River,2013-06-30T04:00:00Z,,45.375768,-75.841747,45.375768-75.841747
,Heat Wave!!!,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.375868, -75.841847)",1,Ottawa River,2013-07-19T04:00:00Z,,45.375868,-75.841847,45.375868-75.841847
,"Bright sunny day, flat calm water","RGeo::Geographic.spherical_factory(srid: 4326).point(45.375668, -75.841947)",1,Ottawa River,2013-08-24T04:00:00Z,,45.375668,-75.841947,45.375668-75.841947
,"Sunny, west wind, lots of chop, whitecaps","RGeo::Geographic.spherical_factory(srid: 4326).point(45.375868, -75.842047)",1,Ottawa River,2013-09-14T04:00:00Z,,45.375868,-75.842047,45.375868-75.842047
,"Sunny day, south wind, no rain in a few days","RGeo::Geographic.spherical_factory(srid: 4326).point(45.375568, -75.842147)",1,Ottawa River,2014-06-22T04:00:00Z,,45.375568,-75.842147,45.375568-75.842147
,"A few severe thunderstorms earlier during the week, water is more brown, not as clear. �","RGeo::Geographic.spherical_factory(srid: 4326).point(45.514196, -76.556613)",1,Bonnechere River,2013-06-28T04:00:00Z,,45.514196,-76.556613,45.514196-76.556613
,"Storms were recorded in last 24 hours (option not available on menu). �Muddy water, water very turbid. �Bad storms during the past week. �As a side note, we did water quality testing from near the headwaters down to the mouth of the Bonnechere, and water clarity seemed to be bad at both Renfrew sites in particular.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.514096, -76.556713)",1,Bonnechere River,2013-07-19T04:00:00Z,,45.514096,-76.556713,45.514096-76.556713
,Water is not as muddy looking as previous sampling period.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.513996, -76.556813)",1,Bonnechere River,2013-08-26T04:00:00Z,,45.513996,-76.556813,45.513996-76.556813
,"fast-flowing, very murky water, high levels due to rain, DO and pH measured with a sonde","RGeo::Geographic.spherical_factory(srid: 4326).point(45.513896, -76.556913)",1,Bonnechere River,2014-06-25T04:00:00Z,,45.513896,-76.556913,45.513896-76.556913
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.513796, -76.557013)",1,Bonnechere River,2014-06-25T04:00:00Z,,45.513796,-76.557013,45.513796-76.557013
,"60%cloud, warm, humid","RGeo::Geographic.spherical_factory(srid: 4326).point(45.513696, -76.557113)",1,Bonnechere River,2014-07-22T04:00:00Z,,45.513696,-76.557113,45.513696-76.557113
,"80% cloud cover, humid","RGeo::Geographic.spherical_factory(srid: 4326).point(45.513596, -76.557213)",1,Bonnechere River,2014-08-22T04:00:00Z,,45.513596,-76.557213,45.513596-76.557213
,"high water but not as noticable as Bonnechere, possible malfunction of DO probe (3.4 is uncharacterisically low), will try a re-calibrate.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.439875, -76.348457)",1,Madawaska River,2014-06-25T04:00:00Z,,45.439875,-76.348457,45.439875-76.348457
,"60% cloud, humid. Dry","RGeo::Geographic.spherical_factory(srid: 4326).point(45.439775, -76.348557)",1,Madawaska River,2014-07-22T04:00:00Z,,45.439775,-76.348557,45.439775-76.348557
,"80% cloud cover, humid","RGeo::Geographic.spherical_factory(srid: 4326).point(45.439675, -76.348657)",1,Madawaska River,2014-08-22T04:00:00Z,,45.439675,-76.348657,45.439675-76.348657
,"Measurement taken from beach, no secchi. �Rain more heavy now. �","RGeo::Geographic.spherical_factory(srid: 4326).point(45.524487, -76.555036)",1,Ottawa River,2013-06-28T04:00:00Z,,45.524487,-76.555036,45.524487-76.555036
,"Good water flow.Lots of fish (minnows,bass).","RGeo::Geographic.spherical_factory(srid: 4326).point(45.473926, -76.210804)",1,Carp River,2013-08-11T04:00:00Z,,45.473926,-76.210804,45.473926-76.210804
,Investigators: Hadleigh Thompson + Alex McArdleSmall amount of log debris in river. River level droping (local gauge reading 12.75).,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.661882, -76.711624)",1,Ottawa River,2013-06-30T04:00:00Z,,45.661882,-76.711624,45.661882-76.711624
,"Massive thunderstorms 48hrs previously, causing substantial run off.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.661782, -76.711724)",1,Ottawa River,2013-07-21T04:00:00Z,,45.661782,-76.711724,45.661782-76.711724
,windy day - moderate amounts of debris,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.661682, -76.711824)",1,Ottawa River,2013-08-23T04:00:00Z,,45.661682,-76.711824,45.661682-76.711824
,"River Gauge above rapids = 21.5; Lots of spring high flow debris: logs, branches, pieces of dock etc.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.661582, -76.711924)",1,Ottawa River,2014-05-25T04:00:00Z,,45.661582,-76.711924,45.661582-76.711924
,River gauge 10.5,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.661482, -76.712024)",1,Ottawa River,2014-06-21T04:00:00Z,,45.661482,-76.712024,45.661482-76.712024
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.661382, -76.712124)",1,Ottawa River,2014-08-23T04:00:00Z,,45.661382,-76.712124,45.661382-76.712124
,"Water was calm and not much current.� this sample was taken in front of davis island, lac des allumettes, Fort William latitude 77 18 longitude 45 58","RGeo::Geographic.spherical_factory(srid: 4326).point(45.987572, -77.287857)",1,Ottawa River,2013-07-01T04:00:00Z,,45.987572,-77.287857,45.987572-77.287857
,"100 meters east of Kaulbach Boathouse on Davis island. Test done by Catherine Galligan, Fort William riverwatcher.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.987472, -77.287957)",1,Ottawa River,2013-07-26T04:00:00Z,,45.987472,-77.287957,45.987472-77.287957
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.987372, -77.288057)",1,Ottawa River,2014-07-21T04:00:00Z,,45.987372,-77.288057,45.987372-77.288057
,small wind,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.987272, -77.288157)",1,Ottawa River,2014-08-23T04:00:00Z,,45.987272,-77.288157,45.987272-77.288157
,its been quite cold lately and the water has come up lots,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.987172, -77.288257)",1,Ottawa River,2014-09-20T04:00:00Z,,45.987172,-77.288257,45.987172-77.288257
,Hawkesbury creek 5 meters south form Bon Paster bridge. Water murky and brown due to heavy rain. ,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.606657, -74.617843)",1,Other Tributary,2013-06-30T04:00:00Z,,45.606657,-74.617843,45.606657-74.617843
,Water brown very high due to heavy rain fall. A lot of air bubbles on top of water . A lot lot of over hanging branches. ,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.606557, -74.617943)",1,Other Tributary,2013-07-21T04:00:00Z,,45.606557,-74.617943,45.606557-74.617943
