ph,temperature,phosphate,clarity,oxygen,nitri,nitrate,ecoli,observation_id
6.0,20.5,0.2,1.70,8.0,0.5,5.0,,1
8.0,25.0,0.2,1.69,8.0,0.5,5.0,,2
7.0,24.0,0.2,2.42,8.0,0.5,5.0,,3
7.5,17.5,0.2,1.28,7.0,0.1,5.0,,4
6.0,21.0,,1.40,8.0,0.3,5.0,,5
7.0,22.0,0.2,1.75,6.0,0.5,5.0,,6
8.0,28.0,0.2,1.25,6.0,0.5,5.0,,7
7.8,22.0,0.2,2.25,6.0,0.5,5.0,,8
7.2,20.5,,0.10,6.3,0.5,5.0,,9
7.2,20.5,,0.10,6.3,0.5,5.0,,10
7.8,24.1,,1.30,10.1,0.5,5.0,,11
7.5,20.3,,1.45,13.2,0.5,5.0,,12
7.2,20.1,,1.25,3.4,0.5,5.0,,13
7.5,23.1,,26.95,10.6,0.5,5.0,,14
7.5,19.5,,21.25,11.1,0.5,5.0,,15
6.0,17.0,0.2,,8.0,0.5,5.0,,16
8.5,22.5,0.2,,10.0,0.5,5.0,,17
6.0,17.0,0.0,1.40,10.0,0.5,5.0,,18
7.0,24.0,0.0,1.80,8.0,0.5,5.0,,19
6.0,21.0,0.0,2.50,10.0,0.5,5.0,,20
6.0,10.0,,1.75,12.0,0.5,5.0,,21
6.0,16.0,,1.75,6.0,0.5,5.0,,22
6.0,20.0,,1.75,10.0,0.5,5.0,,23
6.0,16.0,0.2,1.50,9.0,0.5,5.0,,24
7.0,19.5,0.2,2.00,8.0,0.5,2.0,,25
7.0,19.0,,2.25,,0.5,5.0,,26
7.0,19.0,,2.13,,0.5,5.0,,27
6.0,15.0,,1.88,,0.0,5.0,,28
9.0,17.0,0.6,,4.0,0.5,5.0,,29
8.0,22.0,0.2,,6.0,5.0,5.0,,30
9.0,21.0,0.4,,6.0,0.5,10.0,,31
8.0,13.0,0.2,,10.0,0.5,5.0,,32
8.0,15.0,,,8.0,0.5,5.0,,33
9.0,20.0,,,10.0,0.5,5.0,,34
9.5,19.0,,,10.0,0.5,5.0,,35
9.0,19.0,,,10.0,0.5,5.0,,36
8.0,13.0,,,10.0,0.5,5.0,,37
6.0,18.0,0.2,0.55,6.0,0.5,5.0,,38
7.0,22.0,0.2,0.36,6.0,0.5,5.0,,39
7.0,19.0,0.2,1.74,8.0,0.5,5.0,,40
6.0,18.0,0.2,1.71,8.0,0.5,5.0,,41
6.0,13.0,,0.40,6.0,0.5,5.0,,42
6.0,18.0,,3.50,10.0,0.5,5.0,,43
10.0,22.0,,1.39,10.0,0.5,5.0,,44
6.0,21.0,,1.35,8.0,0.5,5.0,,45
6.0,17.0,,1.62,6.0,0.5,5.0,,46
6.0,20.0,0.2,0.55,5.0,0.5,5.0,,47
6.0,24.0,0.2,1.17,5.0,0.5,5.0,,48
5.0,20.0,0.2,1.83,8.0,0.5,5.0,,49
5.0,17.0,0.2,1.62,8.0,0.5,5.0,,50
6.0,12.0,,0.40,8.0,0.5,5.0,,51
7.0,21.0,,1.00,10.0,0.5,5.0,,52
8.0,23.0,,1.29,10.0,0.5,5.0,,53
6.0,21.0,,1.37,8.0,0.5,5.0,,54
6.0,14.0,,1.50,8.0,0.5,5.0,,55
9.0,27.0,0.4,0.17,12.0,0.5,5.0,,56
7.5,18.0,0.2,0.40,9.0,0.5,5.0,,57
6.5,19.1,0.2,1.50,9.0,0.5,5.0,,58
7.0,24.4,0.2,2.00,7.0,0.5,5.0,,59
6.5,22.3,0.2,2.00,7.0,0.5,5.0,,60
6.5,16.0,0.2,2.50,8.0,0.5,5.0,,61
7.0,17.0,,1.60,10.0,0.5,5.0,,62
6.0,20.5,,0.20,9.0,0.5,5.0,,63
6.5,22.5,,1.50,9.0,0.5,5.0,,64
6.0,20.5,,1.40,9.0,0.5,5.0,,65
7.5,18.0,0.2,1.80,10.0,0.5,5.0,,66
6.0,25.0,0.2,1.50,10.0,0.5,5.0,,67
6.5,22.0,0.2,2.10,9.0,0.5,5.0,,68
6.0,18.0,0.2,2.20,8.0,0.5,5.0,,69
7.5,29.0,0.2,2.50,9.0,0.5,5.0,,70
7.5,22.0,0.2,2.05,9.0,0.5,5.0,,71
6.0,13.0,0.2,2.20,10.0,0.5,5.0,,72
6.5,20.5,0.2,3.47,10.0,0.5,5.0,,73
8.0,17.0,0.2,1.25,10.0,0.5,2.0,,74
7.5,23.0,0.2,2.86,10.0,0.5,5.0,,75
7.0,22.0,,2.00,,0.0,4.0,,76
7.0,16.0,,1.50,,0.5,5.0,,77
8.0,22.0,0.2,,8.0,0.5,5.0,,78
8.0,22.0,0.2,,10.0,0.8,10.0,,79
6.0,19.0,0.2,1.30,9.0,0.5,5.0,,80
6.5,21.5,0.2,2.00,9.0,0.5,5.0,,81
7.0,22.5,0.2,,8.0,0.5,5.0,,82
7.0,18.0,0.2,2.50,10.0,0.5,5.0,,83
7.5,15.5,0.2,2.00,9.0,0.5,5.0,,84
7.0,13.5,,1.75,12.0,0.5,5.0,,85
8.0,22.0,,2.07,9.0,0.5,5.0,,86
7.0,22.0,,1.80,10.0,0.5,5.0,,87
8.0,23.0,,1.60,8.0,,5.0,,88
8.0,21.0,0.2,2.10,9.0,0.5,5.0,,89
6.5,24.8,0.2,2.20,10.0,0.5,5.0,,90
7.0,23.0,0.2,2.50,6.0,0.5,5.0,,91
7.0,17.0,0.2,2.00,10.0,0.5,5.0,,92
7.0,14.0,,2.00,10.0,0.5,5.0,,93
8.0,20.0,,2.30,10.0,0.5,5.0,,94
8.0,22.0,,1.50,8.0,0.5,5.0,,95
8.0,21.0,0.2,3.00,5.0,0.5,5.0,,96
8.0,,0.2,2.70,8.0,0.5,5.0,,97
8.0,19.0,,2.20,8.0,0.5,5.0,,98
9.0,24.0,,2.50,8.0,0.5,5.0,,99
8.0,23.0,,2.60,8.0,0.5,5.0,,100
8.0,20.5,,2.60,7.0,0.5,5.0,,101
8.5,23.1,0.2,0.40,7.1,0.5,5.0,,102
7.0,24.0,0.2,2.00,8.0,0.5,5.0,,103
8.0,26.0,0.2,1.40,8.0,0.5,5.0,,104
6.5,22.2,0.2,0.55,7.0,0.5,5.0,,105
8.0,26.0,0.2,1.70,8.0,0.5,5.0,,106
8.0,22.1,0.2,1.30,8.0,0.5,5.0,,107
7.0,27.0,0.2,1.00,8.0,0.5,5.0,,108
7.0,18.5,0.2,1.20,10.0,0.5,5.0,,109
6.0,25.0,0.2,1.95,10.0,0.5,5.0,,110
6.0,19.0,0.2,1.90,8.0,0.5,5.0,,111
5.5,13.5,,0.85,11.0,0.5,5.0,,112
6.0,19.0,,1.20,10.0,0.5,5.0,,113
7.0,22.0,,1.30,9.0,0.5,5.0,,114
6.0,23.0,0.2,1.85,6.0,0.5,5.0,,115
6.0,21.0,0.2,1.73,6.5,0.5,5.0,,116
6.0,18.0,0.2,1.80,8.0,0.5,5.0,,117
6.0,23.0,0.2,1.70,7.0,0.5,5.0,,118
7.0,22.0,0.2,2.40,7.0,0.5,5.0,,119
6.0,18.0,0.2,2.02,8.0,0.5,5.0,,120
,18.0,,,,,,,121
7.0,18.0,,1.70,10.0,0.0,0.0,,122
6.0,21.5,,1.57,8.0,0.0,0.0,,123
